,DayofYear,Date,Month,Year,Time(Hrs),Dst Index
43105,336,01,12,2004,00,-7.00
43106,336,01,12,2004,01,-5.00
43107,336,01,12,2004,02,-9.00
43108,336,01,12,2004,03,-9.00
43109,336,01,12,2004,04,-15.00
43110,336,01,12,2004,05,-17.00
43111,336,01,12,2004,06,-18.00
43112,336,01,12,2004,07,-22.00
43113,336,01,12,2004,08,-24.00
43114,336,01,12,2004,09,-24.00
43115,336,01,12,2004,10,-26.00
43116,336,01,12,2004,11,-22.00
43117,336,01,12,2004,12,-19.00
43118,336,01,12,2004,13,-16.00
43119,336,01,12,2004,14,-16.00
43120,336,01,12,2004,15,-15.00
43121,336,01,12,2004,16,-20.00
43122,336,01,12,2004,17,-19.00
43123,336,01,12,2004,18,-21.00
43124,336,01,12,2004,19,-19.00
43125,336,01,12,2004,20,-18.00
43126,336,01,12,2004,21,-16.00
43127,336,01,12,2004,22,-12.00
43128,336,01,12,2004,23,-13.00
43129,337,02,12,2004,00,-13.00
43130,337,02,12,2004,01,-13.00
43131,337,02,12,2004,02,-14.00
43132,337,02,12,2004,03,-14.00
43133,337,02,12,2004,04,-15.00
43134,337,02,12,2004,05,-15.00
43135,337,02,12,2004,06,-17.00
43136,337,02,12,2004,07,-20.00
43137,337,02,12,2004,08,-23.00
43138,337,02,12,2004,09,-21.00
43139,337,02,12,2004,10,-19.00
43140,337,02,12,2004,11,-18.00
43141,337,02,12,2004,12,-14.00
43142,337,02,12,2004,13,-13.00
43143,337,02,12,2004,14,-13.00
43144,337,02,12,2004,15,-13.00
43145,337,02,12,2004,16,-13.00
43146,337,02,12,2004,17,-11.00
43147,337,02,12,2004,18,-11.00
43148,337,02,12,2004,19,-12.00
43149,337,02,12,2004,20,-14.00
43150,337,02,12,2004,21,-14.00
43151,337,02,12,2004,22,-12.00
43152,337,02,12,2004,23,-12.00
43153,338,03,12,2004,00,-10.00
43154,338,03,12,2004,01,-10.00
43155,338,03,12,2004,02,-9.00
43156,338,03,12,2004,03,-9.00
43157,338,03,12,2004,04,-6.00
43158,338,03,12,2004,05,-6.00
43159,338,03,12,2004,06,-7.00
43160,338,03,12,2004,07,-9.00
43161,338,03,12,2004,08,-10.00
43162,338,03,12,2004,09,-11.00
43163,338,03,12,2004,10,-13.00
43164,338,03,12,2004,11,-10.00
43165,338,03,12,2004,12,-8.00
43166,338,03,12,2004,13,-5.00
43167,338,03,12,2004,14,-4.00
43168,338,03,12,2004,15,-4.00
43169,338,03,12,2004,16,-5.00
43170,338,03,12,2004,17,-5.00
43171,338,03,12,2004,18,-3.00
43172,338,03,12,2004,19,-3.00
43173,338,03,12,2004,20,-7.00
43174,338,03,12,2004,21,-9.00
43175,338,03,12,2004,22,-10.00
