,DayofYear,Date,Month,Year,Time(Hrs),Dst Index
87673,001,01,01,1985,00,-24.00
87674,001,01,01,1985,01,-23.00
87675,001,01,01,1985,02,-21.00
87676,001,01,01,1985,03,-25.00
87677,001,01,01,1985,04,-27.00
87678,001,01,01,1985,05,-28.00
87679,001,01,01,1985,06,-26.00
87680,001,01,01,1985,07,-24.00
87681,001,01,01,1985,08,-22.00
87682,001,01,01,1985,09,-25.00
87683,001,01,01,1985,10,-19.00
87684,001,01,01,1985,11,-14.00
87685,001,01,01,1985,12,-15.00
87686,001,01,01,1985,13,-12.00
87687,001,01,01,1985,14,-13.00
87688,001,01,01,1985,15,-19.00
87689,001,01,01,1985,16,-18.00
87690,001,01,01,1985,17,-15.00
87691,001,01,01,1985,18,-18.00
87692,001,01,01,1985,19,-40.00
87693,001,01,01,1985,20,-53.00
87694,001,01,01,1985,21,-39.00
87695,001,01,01,1985,22,-37.00
87696,001,01,01,1985,23,-31.00
87697,002,02,01,1985,00,-32.00
87698,002,02,01,1985,01,-32.00
87699,002,02,01,1985,02,-35.00
87700,002,02,01,1985,03,-40.00
87701,002,02,01,1985,04,-38.00
87702,002,02,01,1985,05,-33.00
87703,002,02,01,1985,06,-34.00
87704,002,02,01,1985,07,-34.00
87705,002,02,01,1985,08,-30.00
87706,002,02,01,1985,09,-30.00
87707,002,02,01,1985,10,-32.00
87708,002,02,01,1985,11,-30.00
87709,002,02,01,1985,12,-27.00
87710,002,02,01,1985,13,-26.00
87711,002,02,01,1985,14,-21.00
87712,002,02,01,1985,15,-21.00
87713,002,02,01,1985,16,-22.00
87714,002,02,01,1985,17,-21.00
87715,002,02,01,1985,18,-20.00
87716,002,02,01,1985,19,-22.00
87717,002,02,01,1985,20,-24.00
87718,002,02,01,1985,21,-21.00
87719,002,02,01,1985,22,-21.00
87720,002,02,01,1985,23,-21.00
87721,003,03,01,1985,00,-18.00
87722,003,03,01,1985,01,-16.00
87723,003,03,01,1985,02,-17.00
87724,003,03,01,1985,03,-20.00
87725,003,03,01,1985,04,-17.00
87726,003,03,01,1985,05,-13.00
87727,003,03,01,1985,06,-18.00
87728,003,03,01,1985,07,-25.00
87729,003,03,01,1985,08,-28.00
87730,003,03,01,1985,09,-31.00
87731,003,03,01,1985,10,-24.00
87732,003,03,01,1985,11,-20.00
87733,003,03,01,1985,12,-16.00
87734,003,03,01,1985,13,-17.00
87735,003,03,01,1985,14,-15.00
87736,003,03,01,1985,15,-15.00
87737,003,03,01,1985,16,-9.00
87738,003,03,01,1985,17,-9.00
87739,003,03,01,1985,18,-9.00
87740,003,03,01,1985,19,-10.00
87741,003,03,01,1985,20,-21.00
87742,003,03,01,1985,21,-29.00
87743,003,03,01,1985,22,-26.00
87744,003,03,01,1985,23,-22.00
87745,004,04,01,1985,00,-25.00
87746,004,04,01,1985,01,-29.00
87747,004,04,01,1985,02,-26.00
87748,004,04,01,1985,03,-25.00
87749,004,04,01,1985,04,-21.00
87750,004,04,01,1985,05,-19.00
87751,004,04,01,1985,06,-20.00
87752,004,04,01,1985,07,-24.00
87753,004,04,01,1985,08,-24.00
87754,004,04,01,1985,09,-20.00
87755,004,04,01,1985,10,-21.00
87756,004,04,01,1985,11,-19.00
87757,004,04,01,1985,12,-18.00
87758,004,04,01,1985,13,-17.00
87759,004,04,01,1985,14,-11.00
87760,004,04,01,1985,15,-11.00
87761,004,04,01,1985,16,-8.00
87762,004,04,01,1985,17,-9.00
87763,004,04,01,1985,18,-9.00
87764,004,04,01,1985,19,-13.00
87765,004,04,01,1985,20,-15.00
87766,004,04,01,1985,21,-8.00
87767,004,04,01,1985,22,-11.00
87768,004,04,01,1985,23,-16.00
87769,005,05,01,1985,00,-12.00
87770,005,05,01,1985,01,-11.00
87771,005,05,01,1985,02,-12.00
87772,005,05,01,1985,03,-12.00
87773,005,05,01,1985,04,-12.00
87774,005,05,01,1985,05,-13.00
87775,005,05,01,1985,06,-14.00
87776,005,05,01,1985,07,-17.00
87777,005,05,01,1985,08,-16.00
87778,005,05,01,1985,09,-13.00
87779,005,05,01,1985,10,-12.00
87780,005,05,01,1985,11,-7.00
87781,005,05,01,1985,12,-4.00
87782,005,05,01,1985,13,-2.00
87783,005,05,01,1985,14,-1.00
87784,005,05,01,1985,15,0.00
87785,005,05,01,1985,16,-4.00
87786,005,05,01,1985,17,-3.00
87787,005,05,01,1985,18,-2.00
87788,005,05,01,1985,19,-6.00
87789,005,05,01,1985,20,-8.00
87790,005,05,01,1985,21,-18.00
87791,005,05,01,1985,22,-22.00
87792,005,05,01,1985,23,-18.00
87793,006,06,01,1985,00,-15.00
87794,006,06,01,1985,01,-15.00
87795,006,06,01,1985,02,-18.00
87796,006,06,01,1985,03,-22.00
87797,006,06,01,1985,04,-19.00
87798,006,06,01,1985,05,-17.00
87799,006,06,01,1985,06,-18.00
87800,006,06,01,1985,07,-21.00
87801,006,06,01,1985,08,-21.00
