,ID,DayofYear,Date,Month,Year,Time(Hrs),DstIndex
0,369602,60,1,3,2017,0,1.0
1,369603,60,1,3,2017,1,1.0
2,369604,60,1,3,2017,2,2.0
3,369605,60,1,3,2017,3,3.0
4,369606,60,1,3,2017,4,8.0
5,369607,60,1,3,2017,5,3.0
6,369608,60,1,3,2017,6,6.0
7,369609,60,1,3,2017,7,14.0
8,369610,60,1,3,2017,8,10.0
9,369611,60,1,3,2017,9,4.0
10,369612,60,1,3,2017,10,-12.0
11,369613,60,1,3,2017,11,-7.0
12,369614,60,1,3,2017,12,-15.0
13,369615,60,1,3,2017,13,-16.0
14,369616,60,1,3,2017,14,-19.0
15,369617,60,1,3,2017,15,-36.0
16,369618,60,1,3,2017,16,-43.0
17,369619,60,1,3,2017,17,-34.0
18,369620,60,1,3,2017,18,-28.0
19,369621,60,1,3,2017,19,-31.0
20,369622,60,1,3,2017,20,-44.0
21,369623,60,1,3,2017,21,-61.0
22,369624,60,1,3,2017,22,-55.0
23,369625,60,1,3,2017,23,-49.0
24,369626,61,2,3,2017,0,-49.0
25,369627,61,2,3,2017,1,-51.0
26,369628,61,2,3,2017,2,-48.0
27,369629,61,2,3,2017,3,-38.0
28,369630,61,2,3,2017,4,-36.0
29,369631,61,2,3,2017,5,-39.0
30,369632,61,2,3,2017,6,-41.0
31,369633,61,2,3,2017,7,-42.0
32,369634,61,2,3,2017,8,-41.0
33,369635,61,2,3,2017,9,-36.0
34,369636,61,2,3,2017,10,-37.0
35,369637,61,2,3,2017,11,-41.0
36,369638,61,2,3,2017,12,-39.0
37,369639,61,2,3,2017,13,-37.0
38,369640,61,2,3,2017,14,-36.0
39,369641,61,2,3,2017,15,-37.0
40,369642,61,2,3,2017,16,-38.0
41,369643,61,2,3,2017,17,-36.0
42,369644,61,2,3,2017,18,-33.0
43,369645,61,2,3,2017,19,-32.0
44,369646,61,2,3,2017,20,-34.0
45,369647,61,2,3,2017,21,-33.0
46,369648,61,2,3,2017,22,-27.0
47,369649,61,2,3,2017,23,-24.0
48,369650,62,3,3,2017,0,-27.0
49,369651,62,3,3,2017,1,-33.0
50,369652,62,3,3,2017,2,-33.0
51,369653,62,3,3,2017,3,-26.0
52,369654,62,3,3,2017,4,-26.0
53,369655,62,3,3,2017,5,-28.0
54,369656,62,3,3,2017,6,-33.0
55,369657,62,3,3,2017,7,-34.0
56,369658,62,3,3,2017,8,-37.0
57,369659,62,3,3,2017,9,-37.0
58,369660,62,3,3,2017,10,-46.0
59,369661,62,3,3,2017,11,-37.0
60,369662,62,3,3,2017,12,-30.0
61,369663,62,3,3,2017,13,-31.0
62,369664,62,3,3,2017,14,-33.0
63,369665,62,3,3,2017,15,-33.0
64,369666,62,3,3,2017,16,-39.0
65,369667,62,3,3,2017,17,-40.0
66,369668,62,3,3,2017,18,-31.0
67,369669,62,3,3,2017,19,-24.0
68,369670,62,3,3,2017,20,-20.0
69,369671,62,3,3,2017,21,-18.0
70,369672,62,3,3,2017,22,-16.0
71,369673,62,3,3,2017,23,-17.0
72,369674,63,4,3,2017,0,-19.0
73,369675,63,4,3,2017,1,-22.0
74,369676,63,4,3,2017,2,-27.0
75,369677,63,4,3,2017,3,-26.0
